Area,Date,Category,Subcategory,Variable,Unit,Value
Argentina,2019-07-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,26.3
Argentina,2019-07-01,Electricity generation,Aggregate fuel,Renewables,%,30.12
Argentina,2019-07-01,Electricity generation,Aggregate fuel,Wind and Solar,%,3.82
Argentina,2019-07-01,Electricity generation,Fuel,Bioenergy,%,0.49
Argentina,2019-07-01,Electricity generation,Fuel,Coal,%,2.44
Argentina,2019-07-01,Electricity generation,Fuel,Gas,%,59.9
Argentina,2019-07-01,Electricity generation,Fuel,Hydro,%,25.81
Argentina,2019-07-01,Electricity generation,Fuel,Nuclear,%,6.01
Argentina,2019-07-01,Electricity generation,Fuel,Other Fossil,%,1.54
Argentina,2019-07-01,Electricity generation,Fuel,Solar,%,0.41
Argentina,2019-07-01,Electricity generation,Fuel,Wind,%,3.41
Argentina,2019-08-01,Electricity generation,Aggregate fuel,Clean,%,41.21
Argentina,2019-08-01,Electricity generation,Aggregate fuel,Fossil,%,58.79
Argentina,2019-08-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,58.79
Argentina,2019-08-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,29.23
Argentina,2019-08-01,Electricity generation,Aggregate fuel,Renewables,%,33.71
Argentina,2019-08-01,Electricity generation,Aggregate fuel,Wind and Solar,%,4.48
Argentina,2019-08-01,Electricity generation,Fuel,Bioenergy,%,0.52
Argentina,2019-08-01,Electricity generation,Fuel,Coal,%,0.0
Argentina,2019-08-01,Electricity generation,Fuel,Gas,%,57.67
Argentina,2019-08-01,Electricity generation,Fuel,Hydro,%,28.71
Argentina,2019-08-01,Electricity generation,Fuel,Nuclear,%,7.5
Argentina,2019-08-01,Electricity generation,Fuel,Other Fossil,%,1.12
Argentina,2019-08-01,Electricity generation,Fuel,Solar,%,0.6
Argentina,2019-08-01,Electricity generation,Fuel,Wind,%,3.88
Argentina,2019-09-01,Electricity generation,Aggregate fuel,Clean,%,43.12
Argentina,2019-09-01,Electricity generation,Aggregate fuel,Fossil,%,56.87
Argentina,2019-09-01,Electricity generation,Aggregate fuel,Gas and Other Fossil,%,55.27
Argentina,2019-09-01,Electricity generation,Aggregate fuel,"Hydro, Bioenergy and Other Renewables",%,29.09
Argentina,2019-09-01,Electricity generation,Aggregate fuel,Renewables,%,34.93
